,time,crime_type,crime_description,crime_intensity
534,2012-03,Property,Embezzlement,4.279489394198614e-06
535,2012-04,Property,Embezzlement,4.352414511171288e-06
536,2012-05,Property,Embezzlement,4.646576390530234e-06
537,2012-06,Property,Embezzlement,4.571919051960962e-06
538,2012-07,Property,Embezzlement,4.79243826970859e-06
539,2012-08,Property,Embezzlement,4.718016791470903e-06
540,2012-09,Property,Embezzlement,4.569908918766917e-06
541,2012-10,Property,Embezzlement,4.937726304778818e-06
542,2012-11,Property,Embezzlement,5.010689470871189e-06
543,2012-12,Property,Embezzlement,4.567900552384423e-06
544,2013-01,Property,Embezzlement,5.3038817293306345e-06
545,2013-02,Property,Embezzlement,5.96599310277184e-06
546,2013-03,Property,Embezzlement,6.038762966770599e-06
547,2013-04,Property,Embezzlement,6.111511522837721e-06
548,2013-05,Property,Embezzlement,5.7425074388784915e-06
549,2013-06,Property,Embezzlement,5.815278060464903e-06
550,2013-07,Property,Embezzlement,5.816759824560266e-06
551,2013-08,Property,Embezzlement,5.670945069440074e-06
552,2013-09,Property,Embezzlement,5.672390793470321e-06
553,2013-10,Property,Embezzlement,5.305406264247917e-06
554,2013-11,Property,Embezzlement,5.527874468235747e-06
555,2013-12,Property,Embezzlement,5.75045618903445e-06
556,2014-01,Property,Embezzlement,5.161982789488489e-06
557,2014-02,Property,Embezzlement,4.573208961719288e-06
558,2014-03,Property,Embezzlement,4.500596352072982e-06
559,2014-04,Property,Embezzlement,4.42794665320571e-06
